Log File
47.0; Missle #4; D = 17980.74; Az = 0.8
48.0; Missle #4; D = 17980.74; Az = 0.8
49.0; Missle #4; D = 17980.74; Az = 0.8
50.0; Missle #4; D = 17980.74; Az = 0.8
51.0; Missle #4; D = 17980.74; Az = 0.8
52.0; Missle #4; D = 17980.74; Az = 0.8
53.0; Missle #4; D = 17980.74; Az = 0.8
54.0; Missle #4; D = 17980.74; Az = 0.8
55.0; Missle #4; D = 17980.74; Az = 0.8
56.0; Missle #4; D = 17980.74; Az = 0.8
57.0; Missle #4; D = 17980.74; Az = 0.8
58.0; Missle #4; D = 17980.74; Az = 0.8
59.0; Missle #4; D = 17980.74; Az = 0.8
60.0; Missle #4; D = 17980.74; Az = 0.8
61.0; Missle #4; D = 17980.74; Az = 0.8
62.0; Missle #4; D = 17980.74; Az = 0.8
63.0; Missle #4; D = 17980.74; Az = 0.8
64.0; Missle #4; D = 17980.74; Az = 0.8
65.0; Missle #4; D = 17980.74; Az = 0.8
66.0; Missle #4; D = 17980.74; Az = 0.8
67.0; Missle #4; D = 17980.74; Az = 0.8
68.0; Missle #4; D = 17980.74; Az = 0.8
69.0; Missle #4; D = 17980.74; Az = 0.8
70.0; Missle #4; D = 17980.74; Az = 0.8
71.0; Missle #4; D = 17980.74; Az = 0.8
72.0; Missle #4; D = 17980.74; Az = 0.8
73.0; Missle #4; D = 17980.74; Az = 0.8
74.0; Missle #4; D = 17980.74; Az = 0.8
75.0; Missle #4; D = 17980.74; Az = 0.8
76.0; Missle #4; D = 17980.74; Az = 0.8
77.0; Missle #4; D = 17980.74; Az = 0.8
78.0; Missle #4; D = 17980.74; Az = 0.8
79.0; Missle #4; D = 17980.74; Az = 0.8
80.0; Missle #4; D = 17980.74; Az = 0.8
81.0; Missle #4; D = 17980.74; Az = 0.8
82.0; Missle #4; D = 17980.74; Az = 0.8
83.0; Missle #4; D = 17980.74; Az = 0.8
84.0; Missle #4; D = 17980.74; Az = 0.8
85.0; Missle #4; D = 17980.74; Az = 0.8
86.0; Missle #4; D = 17980.74; Az = 0.8
87.0; Missle #4; D = 17980.74; Az = 0.8
88.0; Missle #4; D = 17980.74; Az = 0.8
89.0; Missle #4; D = 17980.74; Az = 0.8
90.0; Missle #4; D = 17980.74; Az = 0.8
91.0; Missle #4; D = 17980.74; Az = 0.8
92.0; Missle #4; D = 17980.74; Az = 0.8
93.0; Missle #4; D = 17980.74; Az = 0.8
94.0; Missle #4; D = 17980.74; Az = 0.8
95.0; Missle #4; D = 17980.74; Az = 0.8
96.0; Missle #4; D = 17980.74; Az = 0.8
97.0; Missle #4; D = 17980.74; Az = 0.8
98.0; Missle #4; D = 17980.74; Az = 0.8
99.0; Missle #4; D = 17980.74; Az = 0.8
100.0; Missle #4; D = 17980.74; Az = 0.8
101.0; Missle #4; D = 17980.74; Az = 0.8
1.0; Missle #5; D = 18941.7; Az = 0.77
2.0; Missle #5; D = 18960.38; Az = 0.75
3.0; Missle #5; D = 18987.96; Az = 0.74
4.0; Missle #5; D = 19018.4; Az = 0.72
5.0; Missle #5; D = 19050.47; Az = 0.71
6.0; Missle #5; D = 19082.96; Az = 0.69
7.0; Missle #5; D = 19114.77; Az = 0.68
8.0; Missle #5; D = 19144.92; Az = 0.67
9.0; Missle #5; D = 19172.5; Az = 0.66
10.0; Missle #5; D = 19196.76; Az = 0.66
11.0; Missle #5; D = 19217.02; Az = 0.65
12.0; Missle #5; D = 19232.75; Az = 0.64
13.0; Missle #5; D = 19243.5; Az = 0.64
14.0; Missle #5; D = 19248.97; Az = 0.64
15.0; Missle #5; D = 19248.98; Az = 0.64
16.0; Missle #5; D = 19248.98; Az = 0.64
17.0; Missle #5; D = 19248.98; Az = 0.64
18.0; Missle #5; D = 19248.98; Az = 0.64
19.0; Missle #5; D = 19248.98; Az = 0.64
20.0; Missle #5; D = 19248.98; Az = 0.64
21.0; Missle #5; D = 19248.98; Az = 0.64
22.0; Missle #5; D = 19248.98; Az = 0.64
23.0; Missle #5; D = 19248.98; Az = 0.64
24.0; Missle #5; D = 19248.98; Az = 0.64
25.0; Missle #5; D = 19248.98; Az = 0.64
26.0; Missle #5; D = 19248.98; Az = 0.64
27.0; Missle #5; D = 19248.98; Az = 0.64
28.0; Missle #5; D = 19248.98; Az = 0.64
29.0; Missle #5; D = 19248.98; Az = 0.64
30.0; Missle #5; D = 19248.98; Az = 0.64
31.0; Missle #5; D = 19248.98; Az = 0.64
32.0; Missle #5; D = 19248.98; Az = 0.64
33.0; Missle #5; D = 19248.98; Az = 0.64
34.0; Missle #5; D = 19248.98; Az = 0.64
35.0; Missle #5; D = 19248.98; Az = 0.64
36.0; Missle #5; D = 19248.98; Az = 0.64
37.0; Missle #5; D = 19248.98; Az = 0.64
38.0; Missle #5; D = 19248.98; Az = 0.64
39.0; Missle #5; D = 19248.98; Az = 0.64
40.0; Missle #5; D = 19248.98; Az = 0.64
41.0; Missle #5; D = 19248.98; Az = 0.64
42.0; Missle #5; D = 19248.98; Az = 0.64
43.0; Missle #5; D = 19248.98; Az = 0.64
44.0; Missle #5; D = 19248.98; Az = 0.64
45.0; Missle #5; D = 19248.98; Az = 0.64
46.0; Missle #5; D = 19248.98; Az = 0.64
47.0; Missle #5; D = 19248.98; Az = 0.64
48.0; Missle #5; D = 19248.98; Az = 0.64
49.0; Missle #5; D = 19248.98; Az = 0.64
50.0; Missle #5; D = 19248.98; Az = 0.64
51.0; Missle #5; D = 19248.98; Az = 0.64
52.0; Missle #5; D = 19248.98; Az = 0.64
53.0; Missle #5; D = 19248.98; Az = 0.64
54.0; Missle #5; D = 19248.98; Az = 0.64
55.0; Missle #5; D = 19248.98; Az = 0.64
56.0; Missle #5; D = 19248.98; Az = 0.64
57.0; Missle #5; D = 19248.98; Az = 0.64
58.0; Missle #5; D = 19248.98; Az = 0.64
59.0; Missle #5; D = 19248.98; Az = 0.64
60.0; Missle #5; D = 19248.98; Az = 0.64
61.0; Missle #5; D = 19248.98; Az = 0.64
62.0; Missle #5; D = 19248.98; Az = 0.64
63.0; Missle #5; D = 19248.98; Az = 0.64
64.0; Missle #5; D = 19248.98; Az = 0.64
65.0; Missle #5; D = 19248.98; Az = 0.64
66.0; Missle #5; D = 19248.98; Az = 0.64
67.0; Missle #5; D = 19248.98; Az = 0.64
68.0; Missle #5; D = 19248.98; Az = 0.64
69.0; Missle #5; D = 19248.98; Az = 0.64
70.0; Missle #5; D = 19248.98; Az = 0.64
71.0; Missle #5; D = 19248.98; Az = 0.64
72.0; Missle #5; D = 19248.98; Az = 0.64
73.0; Missle #5; D = 19248.98; Az = 0.64
74.0; Missle #5; D = 19248.98; Az = 0.64
75.0; Missle #5; D = 19248.98; Az = 0.64
76.0; Missle #5; D = 19248.98; Az = 0.64
77.0; Missle #5; D = 19248.98; Az = 0.64
78.0; Missle #5; D = 19248.98; Az = 0.64
79.0; Missle #5; D = 19248.98; Az = 0.64
80.0; Missle #5; D = 19248.98; Az = 0.64
81.0; Missle #5; D = 19248.98; Az = 0.64
82.0; Missle #5; D = 19248.98; Az = 0.64
83.0; Missle #5; D = 19248.98; Az = 0.64
84.0; Missle #5; D = 19248.98; Az = 0.64
85.0; Missle #5; D = 19248.98; Az = 0.64
86.0; Missle #5; D = 19248.98; Az = 0.64
87.0; Missle #5; D = 19248.98; Az = 0.64
88.0; Missle #5; D = 19248.98; Az = 0.64
89.0; Missle #5; D = 19248.98; Az = 0.64
90.0; Missle #5; D = 19248.98; Az = 0.64
91.0; Missle #5; D = 19248.98; Az = 0.64
92.0; Missle #5; D = 19248.98; Az = 0.64
93.0; Missle #5; D = 19248.98; Az = 0.64
94.0; Missle #5; D = 19248.98; Az = 0.64
95.0; Missle #5; D = 19248.98; Az = 0.64
96.0; Missle #5; D = 19248.98; Az = 0.64
97.0; Missle #5; D = 19248.98; Az = 0.64
98.0; Missle #5; D = 19248.98; Az = 0.64
99.0; Missle #5; D = 19248.98; Az = 0.64
100.0; Missle #5; D = 19248.98; Az = 0.64
101.0; Missle #5; D = 19248.98; Az = 0.64
